time,src_ip,useragent,connection,http_method,request_scheme,http_status,dest_host,url,url_path,mimetype,content_type,url_query,cookies,data,referrer,authorisation,duration,request_id,user,dest_port,content_md5
,,,,,,,,,,,,,,,,,,,,,
2020-12-12T05:28:49.200199+07:00,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",keep-alive,GET,http,302,127.0.0.1,http://127.0.0.1:5001/profile,/profile,,,b'',"ImmutableMultiDict([('session', '.eJxlUEFugzAQ_ErlcxJDCCA4FZFKqUJpD0kqcbGMMeDU2MTYRGmUv9eobXronnZndrQ7cwWokbLhFGGjW85KJKQgFIEY1CeveMpXJvOWQmyNd0mdLZgB1FPVYUGFBrFWhs5Ar2TNOAXxFdAOM261pFVs0HJk-rGZoAWRndXWuGP8ggTu7DbYsAofsbZ4w0YqfuH0rpWWYpWFXGcZrtwo9B3H9aMoWoW-51qSS4Knw4AKO_3XP_yd6BnRRk18q3U_xBDyNlh8ezcDVUQKbT1Nj8J5l_kfpXMsw3APk3s93_t1MsDkpTCG8Ow1XeeHpDgvz_lGvu_UZ7Kv81Owe0vgEAVzAvtWark49o39YqSK1YxW6CeoKcDb7QvU84Dh.X9Jxpw.MLbIruGkID9lPXZkfnzcAd8C4MI')])",b'',http://127.0.0.1:5001/products,,0.004702091,,,5001,
,,,,,,,,,,,,,,,,,,,,,
2020-12-12T05:28:49.217899+07:00,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:5001/,/,,,b'',"ImmutableMultiDict([('session', '.eJxlUEFugzAQ_ErlcxJDCCA4FZFKqUJpD0kqcbGMMeDU2MTYRGmUv9eobXronnZndrQ7cwWokbLhFGGjW85KJKQgFIEY1CeveMpXJvOWQmyNd0mdLZgB1FPVYUGFBrFWhs5Ar2TNOAXxFdAOM261pFVs0HJk-rGZoAWRndXWuGP8ggTu7DbYsAofsbZ4w0YqfuH0rpWWYpWFXGcZrtwo9B3H9aMoWoW-51qSS4Knw4AKO_3XP_yd6BnRRk18q3U_xBDyNlh8ezcDVUQKbT1Nj8J5l_kfpXMsw3APk3s93_t1MsDkpTCG8Ow1XeeHpDgvz_lGvu_UZ7Kv81Owe0vgEAVzAvtWark49o39YqSK1YxW6CeoKcDb7QvU84Dh.X9Jxpw.MLbIruGkID9lPXZkfnzcAd8C4MI')])",b'',http://127.0.0.1:5001/products,,0.003996134,,,5001,
,,,,,,,,,,,,,,,,,,,,,
2020-12-12T05:28:55.425213+07:00,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",keep-alive,GET,http,302,127.0.0.1,http://127.0.0.1:5001/login,/login,,,b'',"ImmutableMultiDict([('session', '.eJxlUEFugzAQ_ErlcxJDCCA4FZFKqUJpD0kqcbGMMeDU2MTYRGmUv9eobXronnZndrQ7cwWokbLhFGGjW85KJKQgFIEY1CeveMpXJvOWQmyNd0mdLZgB1FPVYUGFBrFWhs5Ar2TNOAXxFdAOM261pFVs0HJk-rGZoAWRndXWuGP8ggTu7DbYsAofsbZ4w0YqfuH0rpWWYpWFXGcZrtwo9B3H9aMoWoW-51qSS4Knw4AKO_3XP_yd6BnRRk18q3U_xBDyNlh8ezcDVUQKbT1Nj8J5l_kfpXMsw3APk3s93_t1MsDkpTCG8Ow1XeeHpDgvz_lGvu_UZ7Kv81Owe0vgEAVzAvtWark49o39YqSK1YxW6CeoKcDb7QvU84Dh.X9Jxpw.MLbIruGkID9lPXZkfnzcAd8C4MI')])",b'',http://127.0.0.1:5001/,,0.000996828,,,5001,
,,,,,,,,,,,,,,,,,,,,,
2020-12-12T05:28:57.792730+07:00,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",keep-alive,GET,http,302,127.0.0.1,http://127.0.0.1:5001/authorize?state=Alybrwn9qJla3kGHWdKgGxZgwYssS4&code=4%2F0AY0e-g7YxeCJ_ENyJ8VaF9U8jETi-lnR7HHfeSMIXcOQwCuAyenypX5AmxIvxXselb4yzg&scope=email%20profile%20openid%20https:%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email%20https:%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&authuser=1&hd=std.stei.itb.ac.id&prompt=none,/authorize,,,b'state=Alybrwn9qJla3kGHWdKgGxZgwYssS4&code=4/0AY0e-g7YxeCJ_ENyJ8VaF9U8jETi-lnR7HHfeSMIXcOQwCuAyenypX5AmxIvxXselb4yzg&scope=email%20profile%20openid%20https://www.googleapis.com/auth/userinfo.email%20https://www.googleapis.com/auth/userinfo.profile&authuser=1&hd=std.stei.itb.ac.id&prompt=none',"ImmutableMultiDict([('session', '.eJxlUEFugzAQ_ErlcxJDCCA4FZFKqUJpD0kqcbGMMeDU2MTYRGmUv9eobXronnZndrQ7cwWokbLhFGGjW85KJKQgFIEY1CeveMpXJvOWQmyNd0mdLZgB1FPVYUGFBrFWhs5Ar2TNOAXxFdAOM261pFVs0HJk-rGZoAWRndXWuGP8ggTu7DbYsAofsbZ4w0YqfuH0rpWWYpWFXGcZrtwo9B3H9aMoWoW-51qSS4Knw4AKO_3XP_yd6BnRRk18q3U_xBDyNlh8ezcDVUQKbT1Nj8J5l_kfpXMsw3APk3s93_t1MsDkpTCG8Ow1XeeHpDgvz_lGvu_UZ7Kv81Owe0vgEAVzAvtWark49o39YqSK1YxW6CeoKcDb7QvU84Dh.X9Jxpw.MLbIruGkID9lPXZkfnzcAd8C4MI'), ('google-login-session', '.eJyrVopPz89Pz0mNTywtycjJTIrPy89LTo1XslJKyTQzyvZOCrQwMDM18PZwcvPJcVLSwVBflJqSWZSaXBJfWpQJ0pZRUlJgpa9vaGSuZwCEhlamBgaG-iDV-UWZValYTCguSSwB2-iYU5lUVJ5nWeiVk2ic7e4RnuKd7l4RlV4eWVwcbKJUCwAMGjs2.X9Pypw.v83puhhsDlaUWTMOsk0XAtphdb0')])",b'',,,0.358725309,,,5001,
,,,,,,,,,,,,,,,,,,,,,
2020-12-12T05:28:57.804703+07:00,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:5001/home,/home,,,b'',"ImmutableMultiDict([('session', '.eJxlUEFugzAQ_ErlcxJDCCA4FZFKqUJpD0kqcbGMMeDU2MTYRGmUv9eobXronnZndrQ7cwWokbLhFGGjW85KJKQgFIEY1CeveMpXJvOWQmyNd0mdLZgB1FPVYUGFBrFWhs5Ar2TNOAXxFdAOM261pFVs0HJk-rGZoAWRndXWuGP8ggTu7DbYsAofsbZ4w0YqfuH0rpWWYpWFXGcZrtwo9B3H9aMoWoW-51qSS4Knw4AKO_3XP_yd6BnRRk18q3U_xBDyNlh8ezcDVUQKbT1Nj8J5l_kfpXMsw3APk3s93_t1MsDkpTCG8Ow1XeeHpDgvz_lGvu_UZ7Kv81Owe0vgEAVzAvtWark49o39YqSK1YxW6CeoKcDb7QvU84Dh.X9Jxpw.MLbIruGkID9lPXZkfnzcAd8C4MI'), ('google-login-session', '.eJxNy8EKgkAQANBfkTnLolayeAqDEOzSFyyjO6yT626sY5fo3_MS9O7vDcbF6DwZ3GTyPJgQw0gGGrBcV3M_3HVRn4q-a68330IO5klpwUBBoJG0UQ60IPs9lLoqdXE8nFexahVixTIoHBXb_fnoHFnD4dcCLvS3ssuUeJX4YolZxxYfKPD5ApJbNCE.X9PyqQ.XsIo8peIzHt844w9wCpjML-hW7I')])",b'',,,0.004998684,,,5001,
